chr	gene	start	end	transcript	strand	cancerGene	geneColor
5	MIR4634	174178737	174178790	NR_039777	+	no	black
5	FLJ16171	174346085	174422734	NR_046113	-	no	black
5	DRD1	174867675	174871163	NM_000794	-	no	black
5	SFXN1	174905514	174955621	NM_022754	+	no	black
5	HRH2	175085040	175113245	NM_001131055|NM_022304	+	no	black
5	CPLX2	175223610	175311023	NM_006650|NM_001008220	+	no	black
5	THOC3	175386534	175395318	NM_032361	-	no	black
5	LOC100996385	175476681	175489058	NR_103794	-	no	black
5	FAM153B	175490712	175541801	NM_001265615	+	no	black
5	LOC100507387	175546552	175552168	NR_038402	+	no	black
5	LOC643201	175570088	175626298	NR_036494	-	no	black
5	SIMC1	175665370	175772990	NM_198567	+	no	black
5	KIAA1191	175773064	175788810	NM_001079685|NM_001079684|NM_001287336|NM_020444|NM_001287335|NR_109798|NR_109800|NR_109797|NR_109796|NR_109799	-	no	black
5	ARL10	175792502	175800503	NM_173664	+	no	black
5	MIR1271	175794949	175795034	NR_031569	+	no	black
5	NOP16	175810940	175815763	NM_001256539*|NM_001291305*|NM_001291308|NM_016391|NM_001256540*|NM_001291307|NM_001291306	-	no	black
5	HIGD2A	175815784	175816751	NM_138820	+	no	black
5	CLTB	175819456	175843570	NM_001834|NR_045724|NM_007097	-	no	black
5	FAF2	175875356	175937075	NM_014613	+	no	black
5	RNF44	175953700	175964421	NM_014901	-	no	black
5	CDHR2	175969512	176022769	NM_001171976|NM_017675	+	no	black
5	GPRIN1	176022803	176037131	NM_052899	-	no	black
5	SNCB	176047210	176057557	NM_003085|NM_001001502	-	no	black
5	MIR4281	176056440	176056501	NR_036239	-	no	black
5	EIF4E1B	176057683	176073642	NM_001099408	+	no	black
5	TSPAN17	176074388	176086059	NM_130465|NM_001006616|NM_012171	+	no	black
5	LINC01574	176170206	176170922	NR_108030	+	no	black
5	UNC5A	176237560	176307899	NM_133369	+	no	black
5	HK3	176307870	176326333	NM_002115	-	no	black
5	UIMC1	176332006	176433795	NM_016290|NM_001199297|NM_001199298	-	no	black
5	ZNF346	176449697	176493745	NM_012279	+	no	black
5	FGFR4	176513873	176525143	NM_002011|NM_213647|NM_001291980|NM_022963	+	yes	red4
5	NSD1	176560080	176727214	NM_172349|NM_022455	+	yes	red4
5	RAB24	176728191	176730745	NM_130781|NR_109790|NR_109789|NM_001031677	-	no	black
5	PRELID1	176730763	176733960	NM_013237|NM_001271828	+	no	black
5	MXD3	176732501	176739292	NM_001142935|NM_031300	-	no	black
5	LMAN2	176758563	176778885	NM_006816	-	no	black
5	RGS14	176784844	176799599	NM_006480	+	no	black
5	SLC34A1	176811432	176825849	NM_001167579|NM_003052	+	no	black
5	PFN3	176827108	176827637	NM_001029886	-	no	black
5	F12	176829139	176836577	NM_000505	-	no	black
5	GRK6	176853687	176869850	NM_001004105|NM_002082|NM_001004106	+	no	black
5	PRR7-AS1	176864890	176874945	NR_038916|NR_038915	-	no	black
5	PRR7	176873796	176883287	NM_001174101|NM_030567|NM_001174102	+	no	black
5	DBN1	176883614	176900694	NM_080881|NM_004395	-	no	black
5	PDLIM7	176910395	176924606	NM_203352|NM_005451|NR_103804|NM_213636	-	no	black
5	DOK3	176928906	176937427	NM_001144876|NM_001144875|NM_024872	-	no	black
5	DDX41	176938578	176943967	NM_016222	-	no	black
5	FAM193B	176946790	176981548	NM_001190946|NR_024019	-	no	black
5	TMED9	177019213	177023099	NM_017510	+	no	black
5	B4GALT7	177027119	177037346	NM_007255	+	no	black
5	LOC202181	177045501	177099278	NR_026921	-	no	black
5	FAM153A	177150365	177207505	NM_173663	-	no	black
5	LOC728554	177302262	177311269	NR_003615	+	no	black
5	PROP1	177419236	177423243	NM_006261	-	no	black
5	FAM153C	177433967	177476088	NR_038353	+	no	black
5	N4BP3	177540556	177553107	NM_015111	+	no	black
5	RMND5B	177557962	177575571	NM_001288794|NM_022762|NM_001288795	+	no	black
5	NHP2	177576465	177580961	NM_017838|NM_001034833	-	no	black
5	GMCL1P1	177611511	177614433	NR_003281	-	no	black
5	HNRNPAB	177631508	177638184	NM_004499|NM_031266	+	no	black
5	PHYKPL	177635475	177659823	NM_001278346|NM_153373|NR_103510|NR_103509|NR_103508	-	no	black
5	COL23A1	177664617	178017556	NM_173465	-	no	black
5	CLK4	178029665	178054054	NM_020666	-	no	black
5	ZNF354A	178138522	178157703	NM_005649	-	no	black
5	AACSP1	178191864	178203277	NR_024035	-	no	black
5	ZNF354B	178286954	178311424	NM_058230	+	no	black
5	ZFP2	178322916	178360210	NM_030613	+	no	black
5	ZNF454	178368194	178393218	NM_182594|NM_001178090|NM_001178089	+	no	black
5	GRM6	178405330	178422124	NM_000843	-	no	black
5	ZNF879	178450776	178461388	NM_001136116	+	no	black
5	ZNF354C	178487607	178507691	NM_014594	+	no	black
5	ADAMTS2	178537852	178772431	NM_014244|NM_021599	-	no	black
5	RUFY1	178977562	179037027	NM_025158|NM_001040451|NM_001040452	+	no	black
5	LOC101928445	179022905	179030742	NR_110560	-	no	black
5	HNRNPH1	179041179	179050722	NM_001257293|NM_005520	-	no	black
5	C5orf60	179068558	179072047	NM_001142306	-	no	black
5	CBY3	179105559	179107975	NM_001164444	-	no	black
5	CANX	179125930	179158639	NM_001746|NM_001024649	+	no	black
5	MAML1	179159851	179204287	NM_014757	+	no	black
5	LTC4S	179220986	179223513	NM_145867	+	no	black
5	MGAT4B	179224598	179233952	NM_054013|NM_014275	-	no	black
5	MIR1229	179225278	179225346	NR_031598	-	no	black
5	SQSTM1	179233388	179265077	NM_001142298|NM_001142299|NM_003900	+	no	black
5	C5orf45	179264266	179285840	NM_016175|NM_001017987	-	no	black
5	TBC1D9B	179289071	179334856	NM_015043|NM_198868	-	no	black
5	RNF130	179382067	179499118	NM_001280801|NM_018434	-	no	black
5	MIR340	179442303	179442397	NR_029885	-	no	black
5	RASGEF1C	179527795	179636130	NM_175062	-	no	black
5	MAPK9	179660595	179719071	NM_139070|NM_139069|NM_139068|NM_002752|NM_001135044	-	no	black
5	GFPT2	179727700	179780315	NM_005110	-	no	black
5	CNOT6	179921399	180005405	NM_001303241	+	no	black
5	SCGB3A1	180017105	180018487	NM_052863	-	no	black
5	FLT4	180028506	180076624	NM_182925|NM_002020	-	yes	red4
5	OR2Y1	180166123	180167058	NM_001001657	-	no	black
5	MGAT1	180217541	180237137	NM_002406|NM_001114620|NM_001114619|NM_001114618|NM_001114617	-	no	black
5	HEIH	180256954	180258618	NR_045680	-	no	black
5	LINC00847	180257957	180262726	NR_027183|NR_045678|NR_045679	+	no	black
5	ZFP62	180274611	180288286	NM_152283|NM_001172638	-	no	black
5	BTNL8	180326077	180377906	NM_001159708|NM_001159707|NM_001159709|NM_024850|NM_001040462|NM_001159710	+	no	black
5	BTNL3	180415845	180433727	NM_197975	+	no	black
5	BTNL9	180467225	180488523	NM_152547	+	no	black
5	MIR8089	180470403	180470484	NR_107056	-	no	black
5	OR2V1	180551357	180552304	NM_001258283	-	no	black
5	OR2V2	180581943	180582890	NM_206880	+	no	black
5	LOC102577426	180618046	180618908	NR_108031	-	no	black
5	TRIM7	180620924	180632293	NM_203297|NM_203295|NM_203294|NM_203296|NM_203293|NM_033342	-	no	black
5	MIR4638	180649566	180649633	NR_039781	-	no	black
5	TRIM41	180650263	180662808	NM_201627|NM_033549|NR_045218	+	no	black
5	GNB2L1	180663928	180670906	NM_006098	-	no	black
5	SNORD96A	180668818	180668889	NR_002592	-	no	black
5	SNORD95	180670314	180670376	NR_002591	-	no	black
5	CTC-338M12.4	180673541	180684587	NR_109909	+	no	black
5	TRIM52	180683386	180688119	NM_032765	-	no	black
5	TRIM52-AS1	180688213	180699308	NR_102760|NR_102761|NR_102759|NR_102762	+	no	black
5	LOC100133331	180750507	180755196	NR_028327	+	no	black
5	LOC100132062	180750507	180755196	NR_028325	+	no	black
5	OR4F16	180794288	180795226	NM_001005277	+	no	black
6	LINC00266-3	140264	148159	NR_109817	-	no	black
6	LOC285766	181466	205484	NR_126020	-	no	black
6	DUSP22	292057	351355	NM_020185|NM_001286555|NR_104473|NR_104475|NR_104474	+	no	black
6	IRF4	391739	411443	NR_046000|NM_001195286|NM_002460	+	yes	red4
6	EXOC2	485138	693141	NM_018303|NR_073064	-	no	black
6	HUS1B	655939	656964	NM_148959	-	no	black
6	LOC101927691	868498	876613	NR_110853	+	no	black
6	LOC285768	961241	1101567	NR_027115|NR_027116	-	no	black
6	FOXQ1	1312675	1314993	NM_033260	+	no	black
6	FOXF2	1390069	1395832	NM_001452	+	no	black
6	MIR6720	1390549	1390646	NR_106778	-	no	black
6	FOXCUT	1605766	1607591	NR_125804	+	no	black
6	FOXC1	1610681	1614129	NM_001453	+	no	black
6	GMDS	1624035	2245868	NM_001253846|NM_001500	-	no	black
6	GMDS-AS1	2245987	2413825	NR_046229	+	no	black
6	C6orf195	2622972	2635298	NM_152554	-	no	black
6	MYLK4	2663863	2751154	NM_001012418	-	no	black
6	WRNIP1	2765666	2785979	NM_020135|NM_130395	+	no	black
6	SERPINB1	2832566	2842283	NM_030666|NR_073112|NR_073111	-	no	black
6	MIR4645	2854265	2854341	NR_039788	-	no	black
6	SERPINB9P1	2854891	2876744	NR_033851	-	no	black
6	LOC101927730	2884222	2900910	NR_110841	+	no	black
6	SERPINB9	2887500	2903546	NM_004155	-	no	black
6	SERPINB6	2948393	2972399	NM_001271825|NM_001271823|NM_001271822|NM_001297700|NM_001297699|NM_001195291|NM_004568|NM_001271824	-	no	black
6	LINC01011	2988201	2991405	NR_026855|NR_026856	+	no	black
6	NQO2	3000050	3020110	NM_000904|NM_001290222|NM_001290221	+	no	black
6	HTATSF1P2	3020390	3025005	NR_033884	-	no	black
6	RIPK1	3077058	3115421	NM_003804	+	no	black
6	BPHL	3118610	3153432	NM_001302777|NM_004332|NR_026648|NR_026649|NR_026650	+	no	black
6	TUBB2A	3153902	3157783	NM_001069	-	no	black
6	LOC100507194	3183052	3196001	NR_038296|NR_038295	-	no	black
6	TUBB2B	3224495	3227968	NM_178012	-	no	black
6	PSMG4	3259162	3268300	NM_001135750|NM_001128592|NM_001128591	+	no	black
6	SLC22A23	3269207	3456793	NM_015482|NM_021945|NM_001286455|NR_104448|NM_001286456	-	no	black
6	PXDC1	3722836	3752246	NM_183373	-	no	black
6	FAM50B	3849632	3851551	NM_012135	+	no	black
6	PRPF4B	4021569	4065217	NM_003913	+	no	black
6	FAM217A	4068593	4079457	NM_173563	-	no	black
6	C6orf201	4079440	4130999	NM_001085401|NR_104463|NR_104464	+	no	black
6	ECI2	4115927	4135831	NM_001166010|NM_006117|NM_206836|NR_028588	-	no	black
6	LOC100507506	4136306	4157619	NR_103764	+	no	black
6	LOC102724096	4186554	4190263	NR_125874	-	no	black
6	MIR7641-2	4428236	4428285	NR_106988	+	no	black
6	KU-MEL-3	4610799	4612153	NR_122107	+	no	black
6	CDYL	4706393	4955778	NR_026590|NM_004824|NM_001143970|NM_001143971	+	no	black
6	RPP40	4995280	5004297	NM_006638|NM_001286133|NM_001286132	-	no	black
6	LOC100129461	5004050	5240729	NR_126016|NR_126017|NR_126015|NR_126018|NR_126019	+	no	black
6	PPP1R3G	5085720	5087455	NM_001145115	+	no	black
6	LYRM4	5108653	5261183	NM_020408|NM_001164841|NR_104418|NR_104417|NM_001164840	-	no	black
6	MIR3691	5148467	5148556	NR_037462	-	no	black
6	FARS2	5261584	5771816	NM_006567	+	no	black
6	LOC101927972	5452701	5458308	NR_125846|NR_125847|NR_125848	-	no	black
6	LOC101927950	5665220	5695505	NR_110842	-	no	black
6	NRN1	5998233	6007838	NM_001278711|NM_016588|NM_001278710	-	no	black
6	F13A1	6144311	6320924	NM_000129	-	no	black
6	MIR5683	6169567	6169642	NR_049863	+	no	black
6	LY86-AS1	6346698	6623059	NR_026970	-	no	black
6	LY86	6588934	6655216	NM_004271	+	no	black
6	RREB1	7107830	7252213	NM_001168344|NM_001003699|NM_001003700|NM_001003698	+	no	black
6	SSR1	7281376	7313547	NM_001292008|NM_003144|NR_120448	-	no	black
6	CAGE1	7326887	7389942	NM_001170692|NM_205864|NM_001170693	-	no	black
6	RIOK1	7390062	7418270	NM_031480|NM_153005	+	no	black
6	DSP	7541870	7586946	NM_004415|NM_001008844	+	no	black
6	SNRNP48	7590432	7612200	NM_152551	+	no	black
6	BMP6	7727011	7881961	NM_001718	+	no	black
6	TXNDC5	7881483	7911047	NM_001145549|NM_030810	-	no	black
6	BLOC1S5-TXNDC5	7881483	8064647	NR_037616	-	no	black
6	PIP5K1P1	7986335	7990577	NR_027712	+	no	black
6	BLOC1S5	8013800	8064647	NM_001199323|NM_201280|NM_001199322	-	no	black
6	EEF1E1-BLOC1S5	8013800	8102828	NR_037618	-	no	black
6	EEF1E1	8073593	8102828	NM_001135650|NM_004280	-	no	black
6	SCARNA27	8086641	8086766	NR_003703	-	no	black
6	SLC35B3	8413300	8435800	NM_001142541|NM_015948|NR_109913|NR_109914	-	no	black
6	LOC100506207	8435856	8785678	NR_038979|NR_038980	+	no	black
6	HULC	8652442	8654080	NR_004855	+	no	black
6	TFAP2A	10396916	10419797	NM_001032280|NM_003220|NM_001042425	-	no	black
6	TFAP2A-AS1	10412551	10416402	NR_033910	+	no	black
6	LINC00518	10428018	10435055	NR_027793	-	no	black
6	MIR5689	10439950	10440027	NR_049872	+	no	black
6	GCNT2	10521568	10629601	NM_145649|NM_001491|NM_145655	+	no	black
6	C6orf52	10671651	10695030	NM_001145020|NR_026737|NR_026736	-	no	black
6	PAK1IP1	10695188	10709970	NM_017906	+	no	black
6	TMEM14C	10723148	10731362	NM_016462|NM_001165258	+	no	black
6	TMEM14B	10747992	10760006	NM_001127711|NM_030969|NM_001286484|NR_104454|NM_001286488|NM_001286489	+	no	black
6	MAK	10762956	10838788	NM_001242385|NM_001242957|NM_005906	-	no	black
6	GCM2	10873456	10882098	NM_004752	-	no	black
6	SYCP2L	10887064	10974541	NM_001040274	+	no	black
6	LOC101928191	10932550	10954322	NR_125851	-	no	black
6	ELOVL2	10980993	11044624	NM_017770	-	no	black
6	ELOVL2-AS1	11043991	11079377	NR_038964|NR_038963|NR_038962	+	no	black
6	SMIM13	11094266	11138969	NM_001135575	+	no	black
6	ERVFRD-1	11102722	11112071	NM_207582	-	no	black
6	NEDD9	11183531	11382581	NM_001271033|NM_006403|NM_001142393|NR_073131|NM_182966	-	no	black
6	TMEM170B	11538460	11583757	NM_001100829	+	no	black
6	ADTRP	11713888	11779280	NM_001143948|NM_032744	-	no	black
6	LOC101928253	11990576	12001477	NR_125853	-	no	black
6	HIVEP1	12012724	12165232	NM_002114	+	no	black
6	EDN1	12290529	12297427	NM_001955|NM_001168319	+	no	black
6	RNU6-48P	12392559	12392586	NR_103808	-	no	black
6	PHACTR1	12717037	13288075	NM_001242648|NM_030948	+	no	black
6	LOC100130357	13279527	13295818	NM_001242698	-	no	black
6	TBC1D7	13305184	13328815	NM_001143966|NM_016495|NM_001143965|NM_001143964|NM_001258457	-	no	black
6	GFOD1	13363587	13487869	NM_001242630|NM_001242628|NM_018988|NR_038459|NM_001242629	-	no	black
6	SIRT5	13574761	13615390	NM_031244|NM_001193267|NM_001242827|NM_012241	+	no	black
6	NOL7	13615559	13621127	NM_016167	+	no	black
6	RANBP9	13621730	13711796	NM_005493	-	no	black
6	MCUR1	13786781	13814792	NM_001031713	-	no	black
6	RNF182	13924677	13980240	NM_001165034|NM_001165032|NM_152737|NM_001165033	+	no	black
6	CD83	14117487	14137148	NM_001251901|NM_004233|NM_001040280	+	no	black
6	LINC01108	14280358	14285685	NR_108096|NR_108097	-	no	black
6	JARID2	15246206	15522273	NM_004973|NM_001267040	+	no	black
6	JARID2-AS1	15248046	15248927	NR_120502	-	no	black
6	DTNBP1	15523032	15663289	NM_032122|NM_001271669|NM_001271668|NM_001271667|NM_183040|NR_036448	-	no	black
6	MYLIP	16129317	16148478	NM_013262	+	no	black
6	MIR4639	16141787	16141855	NR_039782	+	no	black
6	GMPR	16238811	16295780	NM_006877	+	no	black
6	ATXN1	16299343	16761721	NM_000332|NM_001128164	-	no	black
6	STMND1	17102489	17131603	NM_001190766	+	no	black
6	RBM24	17281809	17294099	NM_001143942|NM_001143941|NM_153020	+	no	black
6	CAP2	17393736	17558023	NM_006366	+	no	black
6	LOC101928491	17501596	17511496	NR_110855	-	no	black
6	FAM8A1	17600518	17611950	NM_016255	+	no	black
6	NUP153	17615266	17707065	NM_005124|NM_001278209|NM_001278210	-	no	black
6	KIF13A	17759414	17987854	NM_001105568|NM_022113|NM_001105566|NM_001105567|NM_001243423	-	no	black
6	NHLRC1	18120718	18122851	NM_198586	-	no	black
6	TPMT	18128545	18155396	NM_000367	-	no	black
6	KDM1B	18155619	18224084	NM_153042	+	no	black
6	DEK	18224400	18264799	NM_001134709|NM_003472	-	yes	red4
6	RNF144B	18387581	18469105	NM_182757	+	no	black
6	MIR548A1	18572015	18572111	NR_030312	+	no	black
6	LOC101928519	19068774	19180711	NR_110860	-	no	black
6	ID4	19837601	19842431	NM_001546	+	no	black
6	MBOAT1	20099916	20212695	NM_001080480|NR_073465	-	no	black
6	E2F3	20402137	20493945	NM_001949|NM_001243076	+	no	black
6	CDKAL1	20534688	21232634	NM_017774	+	no	black
6	LINC00581	21486292	21512123	NR_103790	-	no	black
6	SOX4	21593972	21598849	NM_003107	+	no	black
6	CASC15	21666675	22194616	NR_015410	+	no	black
6	NBAT1	22134831	22147422	NR_034143	-	no	black
6	PRL	22287473	22303082	NM_000948|NM_001163558	-	no	black
6	HDGFL1	22569678	22570750	NM_138574	+	no	black
6	NRSN1	24126414	24147757	NM_080723	+	no	black
6	DCDC2	24171983	24383520	NM_016356|NM_001195610	-	no	black
6	KAAG1	24357131	24358512	NM_181337	+	no	black
6	MRS2	24403136	24426422	NM_001286265|NM_001286264|NM_020662|NM_001286266|NR_104423	+	no	black
6	GPLD1	24426062	24489850	NM_001503	-	no	black
6	ALDH5A1	24495197	24537435	NM_001080|NM_170740	+	no	black
6	KIAA0319	24544332	24646383	NM_001252328|NM_001168375|NM_001168376|NM_014809|NM_001168377|NM_001168374	-	no	black
6	TDP2	24650205	24667115	NM_016614	-	no	black
6	ACOT13	24667263	24705295	NM_001160094|NM_018473	+	no	black
6	C6orf62	24705090	24719403	NM_030939	-	no	black
6	GMNN	24775159	24786325	NM_015895|NM_001251989|NM_001251990|NM_001251991	+	no	black
6	C6orf229	24797549	24799124	NM_001282492	-	no	black
6	FAM65B	24804509	25042396	NM_014722|NM_001286445|NM_015864|NM_001286447|NM_001286446	-	no	black
6	CMAHP	25081295	25138620	NR_002174|NR_027626	-	no	black
6	LOC101928663	25245146	25261635	NR_110863|NR_110862	-	no	black
6	LRRC16A	25279656	25620758	NM_001173977|NM_017640	+	no	black
6	SCGN	25652429	25702008	NM_006998	+	no	black
6	HIST1H2AA	25726291	25726790	NM_170745	-	no	black
6	HIST1H2BA	25727137	25727573	NM_170610	+	no	black
6	HIST1H2APS1	25732661	25733089	NR_045125	+	no	black
6	SLC17A4	25754927	25781403	NM_005495|NM_001286121	+	no	black
6	SLC17A1	25783126	25832287	NM_005074	-	no	black
6	SLC17A3	25845328	25874471	NM_001098486|NM_006632	-	no	black
6	SLC17A2	25912984	25930954	NM_001286123|NM_001286125|NM_005835	-	no	black
6	TRIM38	25962917	25987557	NM_006355	+	no	black
6	HIST1H1A	26017260	26018040	NM_005325	-	no	black
6	HIST1H3A	26020718	26021186	NM_003529	+	no	black
6	HIST1H4A	26021907	26022278	NM_003538	+	no	black
6	HIST1H4B	26027124	26027480	NM_003544	-	no	black
6	HIST1H3B	26031817	26032288	NM_003537	-	yes	red4
6	HIST1H2AB	26033320	26033796	NM_003513	-	no	black
6	HIST1H2BB	26043455	26043885	NM_021062	-	no	black
6	HIST1H3C	26045639	26046097	NM_003531	+	no	black
6	HIST1H1C	26055968	26056699	NM_005319	-	no	black
6	HFE	26087509	26095469	NM_139009|NM_139010|NM_000410|NM_139007|NM_139006|NM_139004|NM_139003|NM_139008|NM_139011|NM_001300749	+	no	black
6	HIST1H4C	26104176	26104565	NM_003542	+	no	black
6	HIST1H1T	26107640	26108364	NM_005323	-	no	black
6	HIST1H2BC	26123695	26124132	NM_003526	-	no	black
6	HIST1H2AC	26124373	26124918	NM_003512	+	no	black
6	HIST1H1E	26156559	26157343	NM_005321	+	no	black
6	HIST1H2BD	26158349	26171576	NM_021063|NM_138720	+	no	black
6	HIST1H2BE	26184024	26184458	NM_003523	+	no	black
6	HIST1H4D	26188938	26189304	NM_003539	-	no	black
6	HIST1H3D	26197012	26199521	NM_003530	-	no	black
6	HIST1H2AD	26199012	26199521	NM_021065	-	no	black
6	HIST1H2BF	26199787	26200216	NM_003522	+	no	black
6	HIST1H4E	26204873	26205249	NM_003545	+	no	black
6	HIST1H2BG	26216428	26216872	NM_003518	-	no	black
6	HIST1H2AE	26217148	26217711	NM_021052	+	no	black
6	HIST1H3E	26225383	26225844	NM_003532	+	no	black
6	HIST1H1D	26234440	26235216	NM_005320	-	no	black
6	HIST1H4F	26240654	26241021	NM_003540	+	no	black
6	HIST1H4G	26246839	26247205	NM_003547	-	no	black
6	HIST1H3F	26250370	26250835	NM_021018	-	no	black
6	HIST1H2BH	26251879	26252303	NM_003524	+	no	black
6	HIST1H3G	26271146	26271612	NM_003534	-	no	black
6	HIST1H2BI	26273204	26273640	NM_003525	+	no	black
6	HIST1H4H	26285354	26285727	NM_003543	-	no	black
6	BTN3A2	26365387	26378548	NM_001197249|NM_001197247|NM_001197248|NM_007047|NM_001197246	+	no	black
6	BTN2A2	26383324	26395100	NM_001197238|NM_006995|NM_001197240|NM_001197239|NM_181531|NM_001197237	+	no	black
6	BTN3A1	26402465	26415444	NM_001145008|NM_007048|NM_194441|NM_001145009	+	no	black
6	BTN2A3P	26421619	26430816	NR_027795	+	no	black
6	BTN3A3	26440700	26453643	NM_197974|NM_006994|NM_001242803	+	no	black
6	BTN2A1	26458132	26476849	NM_001197233|NM_078476|NM_007049|NM_001197234	+	no	black
6	LOC285819	26472172	26482737	NR_038992	-	no	black
6	BTN1A1	26501495	26510652	NM_001732	+	no	black
6	HCG11	26521934	26527612	NR_026790	+	no	black
6	HMGN4	26538572	26547164	NM_006353	+	no	black
6	ABT1	26597171	26600277	NM_013375	+	no	black
6	ZNF322	26634611	26659980	NM_024639|NM_001242797|NM_001242798|NM_001242799	-	no	black
6	GUSBP2	26839266	26924333	NR_003504	-	no	black
6	LINC00240	26924772	26991753	NR_026775	+	no	black
6	LOC100270746	26987145	26988085	NR_026776	-	no	black
6	HIST1H2BJ	27100095	27100575	NM_021058	-	no	black
6	HIST1H2AG	27100817	27101314	NM_021064	+	no	black
6	HIST1H2BK	27106072	27114637	NM_080593	-	no	black
6	HIST1H4I	27107088	27107457	NM_003495	+	yes	red4
6	HIST1H2AH	27114861	27115341	NM_080596	+	no	black
6	MIR3143	27115405	27115467	NR_036096	+	no	black
6	PRSS16	27215502	27224399	NM_005865	+	no	black
6	POM121L2	27276842	27280011	NM_033482	-	no	black
6	VN1R10P	27292540	27293741	NR_045612	+	no	black
6	ZNF204P	27325602	27343153	NR_002722|NR_024553	-	no	black
6	ZNF391	27356524	27369227	NM_001076781	+	no	black
6	ZNF184	27418521	27440897	NM_007149	-	no	black
6	LINC01012	27661814	27678001	NR_038293|NR_038294|NR_038292	+	no	black
6	LOC100131289	27729523	27730966	NR_038929	+	no	black
6	HIST1H2BL	27775257	27775709	NM_003519	-	no	black
6	HIST1H2AI	27775977	27776445	NM_003509	+	no	black
6	HIST1H3H	27777842	27778314	NM_003536	+	no	black
6	HIST1H2AJ	27782080	27782518	NM_021066	-	no	black
6	HIST1H2BM	27782822	27783267	NM_003521	+	no	black
6	HIST1H4J	27791903	27792258	NM_021968	+	no	black
6	HIST1H4K	27798952	27799305	NM_003541	-	no	black
6	HIST1H2AK	27805658	27806117	NM_003510	-	no	black
6	HIST1H2BN	27806440	27806888	NM_003520	+	no	black
6	HIST1H2AL	27833107	27833576	NM_003511	+	no	black
6	HIST1H1B	27834570	27835359	NM_005322	-	no	black
6	HIST1H3I	27839623	27840099	NM_003533	-	no	black
6	HIST1H4L	27840926	27841289	NM_003546	-	no	black
6	HIST1H3J	27858093	27858570	NM_003535	-	no	black
6	HIST1H2AM	27860477	27860963	NM_003514	-	no	black
6	HIST1H2BO	27861203	27861669	NM_003527	+	no	black
6	OR2B2	27878963	27880174	NM_033057	-	no	black
6	OR2B6	27925019	27925960	NM_012367	+	no	black
6	ZNF165	28048482	28057340	NM_003447	+	no	black
6	ZSCAN12P1	28058585	28063493	NR_024063	+	no	black
6	ZSCAN16-AS1	28089573	28105094	NR_103455|NR_103456	-	no	black
6	ZSCAN16	28092387	28097856	NM_025231	+	no	black
6	ZKSCAN8	28109688	28127250	NM_001278122|NM_001278119|NM_006298|NM_001278121	+	no	black
6	ZNF192P1	28129539	28137373	NR_103448	+	no	black
6	TOB2P1	28183116	28186707	NR_002936	-	no	black
6	ZSCAN9	28193029	28201264	NM_006299|NM_001199479|NM_001199480	+	no	black
6	ZKSCAN4	28209483	28227030	NM_019110|NM_001304506	-	no	black
6	NKAPL	28227075	28228736	NM_001007531	+	no	black
6	ZSCAN26	28234788	28246000	NM_001023560*|NM_152736|NM_001287422|NM_001111039*|NM_001287421	+	no	black
6	PGBD1	28249314	28270326	NM_001184743|NM_032507	+	no	black
6	ZSCAN31	28292515	28304152	NM_001243243|NM_001135216|NM_001243244|NM_001243242|NM_030899|NM_001243241	-	no	black
6	ZKSCAN3	28317691	28336954	NM_024493|NM_001242895|NM_001242894	+	no	black
6	ZSCAN12	28346598	28367544	NR_028077|NM_001163391	-	no	black
6	ZSCAN23	28400432	28411279	NM_001012455	-	no	black
6	GPX6	28471073	28483570	NM_182701	-	no	black
6	GPX5	28493789	28502728	NM_001509|NM_003996	+	no	black
6	ZBED9	28539407	28555112	NM_052923	-	no	black
6	LOC401242	28827402	28831454	NR_033379	-	no	black
6	HCG14	28864307	28865097	NR_104117	+	no	black
6	TRIM27	28870779	28891768	NM_006510	-	yes	red4
6	LINC01556	28911561	28912315	NR_103538	+	no	black
6	ZNF311	28962594	28973037	NM_001010877	-	no	black
6	LOC100129636	29003798	29044517	NR_125387	+	no	black
6	OR2W1	29011990	29012952	NM_030903	-	no	black
6	OR2B3	29053985	29055090	NM_001005226	-	no	black
6	OR2J3	29079587	29080661	NM_001005216	+	no	black
6	OR2J2	29141311	29142351	NM_030905	+	no	black
6	OR14J1	29274467	29275432	NM_030946	+	no	black
6	OR5V1	29323007	29324054	NM_030876	-	no	black
6	OR12D3	29341200	29343068	NM_030959	-	no	black
6	OR12D2	29364416	29365448	NM_013936	+	no	black
6	OR11A1	29393281	29395509	NM_013937	-	no	black
6	OR10C1	29407716	29408754	NM_013941	+	no	black
6	OR2H1	29426230	29432099	NM_030883	+	no	black
6	MAS1L	29454543	29455679	NM_052967	-	no	black
6	LINC01015	29497183	29501345	NR_037180|NR_037179|NR_037181	+	no	black
6	UBD	29523389	29527702	NM_006398	-	no	black
6	SNORD32B	29550029	29550105	NR_003049	+	no	black
6	OR2H2	29555683	29556745	NM_007160	+	no	black
6	GABBR1	29570005	29600962	NM_021903|NM_021904|NM_001470	-	no	black
6	MOG	29624758	29640149	NM_002433|NM_001170418|NM_206809|NM_206812|NM_206814|NM_206811|NM_001008229|NM_001008228|NM_206810	+	no	black
6	ZFP57	29640169	29644931	NM_001109809	-	no	black
6	HLA-F	29691117	29695073	NM_001098478|NM_018950|NM_001098479	+	no	black
6	HLA-F-AS1	29694378	29716826	NR_026972|NR_026973	-	no	black
6	IFITM4P	29718584	29718925	NR_001590	-	no	black
6	HCG4	29758808	29760850	NR_002139	-	no	black
